technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Focussed,Insensitive,Misguided,No fear of punishment,39,Birgunj
Opportunists,Coward,Brain-washed,"Concealed
existence",47,Biratnagar
Skilful,Coercive,Inferiority complex,Intolerance,42,Lalitpur
Sharp (intelligent),Conviction in Violence,Low self-worth,No fear of punishment,41,Dhangadi
Well-organized,Insensitive,Social dissatisfaction,Revenge,64,Dharan
Well trained,Loner,Unlawful,Anger,16,Biratnagar
Goal oriented,Control freak,Anti-state,"Greed (easy, quick money)",46,Bharatpur
Well-networked,Coercive,Inferiority complex,"Religious
fundamentalism",63,Biratnagar
Opportunists,Loner,Reinforcement available,Need to Control others,52,Jitpur
Opportunists,Chaotic state of mind,Need to outsmart others,Manipulate others,57,Bharatpur
Strategic planners,Coercive,Anti-establishment,Need to Control others,17,Bharatpur
Opportunists,Gullible,Brain-washed,Disregard for law,51,Nepalgunj
Opportunists,Chaotic state of mind,Mass-destruction,Disregard for law,40,Lalitpur
Sharp (intelligent),Selfish,Misguided,Thrill-seeking,30,Kathmandu
Smart,"Psychologically
Deviant",Low self-worth,"Enhancing self-
worth",28,Hetauda
Creative,"Psychologically
Deviant",Anti-state,Experimentation,54,Hetauda
Smart,Coercive,Anti-social,Emotions,50,Butwal
Well trained,Vengeful,Lack Social skills,Plain boredom,24,Dharan
Well-networked,Immoral/ Unethical,Mass-destruction,Manipulate others,30,Pokhara
Opportunists,Identity crisis,Need to outsmart others,"Concealed
existence",28,Bharatpur
Creative,Determined,Radical,"Religious
fundamentalism",34,Bhaktapur
Well-organized,Passionate,Mass-destruction,Lust,27,Birgunj
Resourceful,Identity crisis,Misguided,Curiosity,57,Biratnagar
Focussed,Identity crisis,Need to outsmart others,"Concealed
existence",59,Kalaiya
Well-networked,Psychiatric conditions,Intolerance to diversity of opinion,Lust,16,Jitpur
Resourceful,Incited,Reinforcement available,"Concealed
existence",25,Dhangadi
Well-trained,Emotional,Anti-establishment,Manipulate others,47,Itahari
Well trained,Incited,"Insufficient social
support",Plain boredom,49,Bharatpur
Creative,Psychiatric conditions,Brain-washed,"Enhancing self-
worth",21,Hetauda
Strategic planners,Impatient,Anti-state,Risk tolerance,61,Itahari
Well trained,Psychiatric conditions,Broken homes/families,"Enhancing self-
worth",65,Kalaiya
Sharp (intelligent),Risk-taker,"Insufficient social
support",Risk tolerance,30,Pokhara
Sharp (intelligent),Coercive,Socially inept,Monetary Gain,40,Ghorahi
Goal oriented,Insensitive,Low self-worth,No fear of punishment,26,Biratnagar
Strategic planners,Insensitive,"Insufficient social
support",Anger,17,Kalaiya
Well-trained,Selfish,Inferiority complex,Need to Control others,46,Birgunj
Bully,Inhuman Psyche,Anti-state,Experimentation,49,Bharatpur
Skilful,Coercive,Lack Social skills,Disregard for law,60,Itahari
Well-organized,Risk-taker,Social dissatisfaction,No fear of punishment,40,Tulsipur
Focussed,Emotional,Rationalization,Anger,63,Jitpur
Sharp (intelligent),Risk-taker,Need to outsmart others,Thrill-seeking,26,Pokhara
Sharp (intelligent),Secretive,Radical,Anger,61,Dhangadi
Strategic planners,Chaotic state of mind,Reinforcement available,Thrill-seeking,40,Hetauda
Creative,Immoral/ Unethical,Intolerance to diversity of opinion,Risk tolerance,31,Birgunj
Creative,Identity crisis,Unlawful,Political beliefs,17,Pokhara
Well trained,Psychiatric conditions,Radical,Risk tolerance,28,Biratnagar
Well-trained,Psychiatric conditions,Inferiority complex,"Greed (easy, quick money)",48,Kalaiya
Focussed,Secretive,Anti-establishment,Need to Control others,65,Ghorahi
Resourceful,Chaotic state of mind,"Insufficient social
support","Greed (easy, quick money)",37,Itahari
Well-trained,Gullible,Need to outsmart others,Experimentation,16,Dhangadi
Skilful,Identity crisis,Anti-social,Need to Control others,19,Birgunj
Well-trained,Immoral/ Unethical,Marginalised,Disregard for law,54,Mahendranagar
Resourceful,Passionate,Low self-worth,Revenge,37,Bhaktapur
Smart,Inhuman Psyche,Reinforcement available,"Religious
fundamentalism",31,Bharatpur
Goal oriented,Aggressive,Inferiority complex,Disregard for law,41,Dharan
Sharp (intelligent),Gullible,Mass-destruction,Revenge,42,Janakpur
Well-trained,Vengeful,Radical,Disregard for law,63,Lalitpur
Goal oriented,Emotional,Reinforcement available,Risk tolerance,36,Butwal
Strategic planners,Chaotic state of mind,Mass-destruction,"Enhancing self-
worth",47,Lalitpur
Smart,Chaotic state of mind,Brain-washed,"Concealed
existence",45,Ghorahi
Resourceful,Psychiatric conditions,Misguided,Monetary Gain,61,Mahendranagar
Opportunists,Selfish,Mass-destruction,Intolerance,40,Mahendranagar
Focussed,Chaotic state of mind,Need to outsmart others,Plain boredom,22,Tulsipur
Goal oriented,Insensitive,Anti-establishment,Emotions,23,Jitpur
Goal oriented,Insensitive,Brain-washed,Emotions,19,Jitpur
Bully,"Psychologically
Deviant",Radical,Political support,36,Dhangadi
Smart,Immoral/ Unethical,Socially inept,Intolerance,41,Bhaktapur
Smart,Emotional,"Insufficient social
support",Disregard for law,30,Lalitpur
Skilful,Gullible,Inferiority complex,Emotions,51,Birgunj
Opportunists,Immoral/ Unethical,Need to outsmart others,Revenge,19,Dharan
Skilful,Emotional,Marginalised,No fear of punishment,21,Birgunj
Sharp (intelligent),Coward,Need to outsmart others,"Religious
fundamentalism",57,Kathmandu
Bully,Risk-taker,Inferiority complex,Plain boredom,25,Tulsipur
Focussed,Chaotic state of mind,Rebellious,"Concealed
existence",39,Kalaiya
Skilful,Selfish,Socially inept,Thrill-seeking,62,Nepalgunj
Well-trained,Risk-taker,Inferiority complex,Emotions,64,Birgunj
Strategic planners,Vengeful,"Insufficient social
support",Anger,47,Pokhara
Well-trained,Determined,Need to outsmart others,"Enhancing self-
worth",42,Bhaktapur
Opportunists,Insensitive,Social dissatisfaction,Revenge,38,Biratnagar
Bully,Risk-taker,Brain-washed,Curiosity,58,Butwal
Goal oriented,Risk-taker,Rationalization,Political beliefs,31,Dhangadi
Sharp (intelligent),Control freak,Rebellious,Anger,46,Birgunj
Opportunists,Passionate,Low self-worth,Risk tolerance,62,Mahendranagar
Skilful,Coward,Socially inept,Monetary Gain,64,Nepalgunj
Creative,Emotional,Rebellious,"Religious
fundamentalism",53,Lalitpur
Well trained,Passionate,Socially inept,Intolerance,22,Kathmandu
Well-organized,Impatient,Marginalised,"Religious
fundamentalism",36,Janakpur
Well-trained,Insensitive,Mass-destruction,"Enhancing self-
worth",35,Dharan
Well-organized,Loner,Inferiority complex,"Concealed
existence",57,Pokhara
Focussed,Insensitive,Radical,Thrill-seeking,32,Tulsipur
Strategic planners,"Psychologically
Deviant",Brain-washed,Curiosity,17,Itahari
Smart,Insensitive,Need to outsmart others,Need to Control others,60,Dhangadi
Smart,Strong-willed,Anti-establishment,Need to Control others,65,Kathmandu
Goal oriented,Gullible,Broken homes/families,Experimentation,44,Pokhara
Well-trained,Conviction in Violence,Misguided,Manipulate others,62,Ghorahi
Goal oriented,Inhuman Psyche,Intolerance to diversity of opinion,Plain boredom,55,Nepalgunj
Strategic planners,Insensitive,Broken homes/families,Revenge,24,Pokhara
Focussed,Passionate,Rationalization,Disregard for law,42,Butwal
Resourceful,Control freak,Social dissatisfaction,Political support,56,Biratnagar
Well-networked,Determined,Anti-social,"Concealed
existence",19,Nepalgunj
Well-organized,Selfish,Anti-state,Emotions,25,Lalitpur
Creative,Insensitive,Anti-social,Thrill-seeking,25,Biratnagar
Sharp (intelligent),Chaotic state of mind,Broken homes/families,"Greed (easy, quick money)",55,Hetauda
Well-networked,Chaotic state of mind,Broken homes/families,Thrill-seeking,59,Biratnagar
Well trained,Incited,Intolerance to diversity of opinion,Revenge,62,Bharatpur
Resourceful,Coercive,Intolerance to diversity of opinion,Risk tolerance,41,Janakpur
Opportunists,Coward,Marginalised,Plain boredom,47,Janakpur
Goal oriented,Chaotic state of mind,Social dissatisfaction,Emotions,25,Dhangadi
Strategic planners,Emotional,Social dissatisfaction,Curiosity,19,Itahari
Well-organized,Insensitive,Socially inept,"Concealed
existence",25,Kathmandu
Opportunists,Insensitive,Unlawful,"Enhancing self-
worth",26,Ghorahi
Smart,Risk-taker,Radical,"Religious
fundamentalism",38,Birgunj
Well trained,Incited,Anti-social,Political beliefs,32,Bharatpur
Smart,Psychiatric conditions,Broken homes/families,Emotions,47,Itahari
Creative,Impatient,Radical,No fear of punishment,34,Nepalgunj
Goal oriented,Insensitive,Need to outsmart others,Lust,61,Birgunj
Skilful,Vengeful,Unlawful,Political support,23,Itahari
Well trained,Chaotic state of mind,Anti-state,Thrill-seeking,35,Pokhara
Opportunists,Determined,Socially inept,Thrill-seeking,41,Tulsipur
Opportunists,Gullible,Socially inept,Lust,30,Jitpur
Creative,Passionate,Rationalization,Emotions,45,Bhaktapur
Opportunists,Loner,Low self-worth,Political support,17,Kathmandu
Bully,Insensitive,Rebellious,Monetary Gain,36,Mahendranagar
Resourceful,Conviction in Violence,Marginalised,No fear of punishment,50,Bhaktapur
Sharp (intelligent),Aggressive,Rationalization,"Concealed
existence",49,Dhangadi
Opportunists,Psychiatric conditions,Reinforcement available,"Enhancing self-
worth",26,Tulsipur
Creative,Insensitive,Anti-social,No fear of punishment,50,Bhaktapur
Well trained,Psychiatric conditions,Socially inept,Anger,44,Itahari
Creative,Psychiatric conditions,Low self-worth,Thrill-seeking,51,Biratnagar
Focussed,Insensitive,Rebellious,No fear of punishment,51,Biratnagar
Resourceful,Chaotic state of mind,Reinforcement available,"Concealed
existence",27,Janakpur
Well-networked,Secretive,Inferiority complex,"Enhancing self-
worth",41,Biratnagar
Resourceful,Coward,Misguided,Plain boredom,39,Dhangadi
Well-organized,Conviction in Violence,Inferiority complex,Risk tolerance,26,Kalaiya
Well-networked,Psychiatric conditions,Unlawful,"Greed (easy, quick money)",42,Hetauda
Goal oriented,Psychiatric conditions,Anti-social,Curiosity,18,Janakpur
Strategic planners,Control freak,Reinforcement available,Plain boredom,37,Biratnagar
Focussed,Insensitive,Intolerance to diversity of opinion,Curiosity,28,Biratnagar
